name,city,latitude,longitude
Joost,New York,40.7464969,-74.0094471
Meetup,New York,40.72604,-73.995722
Pando Networks,New York,40.722655,-73.99873
SpiralFrog,New York,37.09024,-95.712891
Tutor,New York,40.707921,-74.004792
OMGPOP,New York,40.723384,-74.001704
Behance,New York,40.74406,-74.004592
WEbook,New York,38.984172,-77.095965
WeShow,New York,40.752516,-73.973072
SimulScribe,New York,40.762673,-73.969296
TravelMuse,New York,37.402802,-122.117418
Oddcast,New York,40.752325,-73.988477
Inform Technologies,New York,40.744639,-73.983963
OLX,New York,40.8587524,-73.7258199
Phreesia,New York,40.739794,-73.985878
Tripology,New York,40.746883,-73.983969
Cellufun,New York,40.73993,-73.9930489
BrandYourself,New York,42.275263,-71.24762
BountyJobs,New York,40.754211,-73.97917
My Damn Channel,New York,40.754762,-73.988543
Hunch,New York,40.741179,-73.993182
For Your Imagination,New York,40.744594,-73.989698
Yipit,New York,40.744618,-73.987764
People Capital,New York,40.756054,-73.986951
Mantara,New York,40.726517,-74.032177
PEX Card,New York,40.752539,-73.987871
Major League Gaming,New York,40.752672,-73.97593
CogniFit,New York,47.6023367,-122.2850112
SpaBooker,New York,40.738567,-73.987199
GameChanger Media,New York,40.7078343,-74.0136605
Saavn,New York,40.743877,-73.98618
GameGround,New York,40.756054,-73.986951
Exent,New York,40.7523796,-74.005568
ChallengePost,New York,40.7408042,-74.00717
